"state_code","state","state_name","population","area_m2","colleges","nLentic","nLotic","nhdFeatures","padus_area_m2","area_km2","padus_area_km2","popDens","eduDens","parkDens","nSites","siteDens","med_income","work_hrs","bachDeg25p","vacRecHs","openWater","developed","forest","plantCult","wetland"
"01","AL","Alabama",4712651,133939686718.918,81,7474,67809,75283,6361013801.90789,133939.686718918,6361.01380190789,35.1848739939928,0.000604749809292777,0.0474916281927472,27314,0.203927608531147,42081,39.2,0.138368640714101,0.220167044263348,0.0182136136172479,0.0323064727915237,0.552647025008925,0.21769201444987,0.113959131313498
"04","AZ","Arizona",6246816,295366016328.808,119,1593,79304,80897,162646078028.792,295366.016328808,162646.078028792,21.1494066840984,0.000402889951522136,0.55065941590156,300,0.00101568895341715,50448,39.1,0.167341358280661,0.387798091060549,0.00157993049403,0.012159430347283,0.135942595858717,0.0187589316817208,0.00247138433180735
"05","AR","Arkansas",2872684,137537092295.218,84,7005,79234,86239,16977685327.4537,137537.092295218,16977.6853274537,20.8866128551991,0.000610744335205933,0.123440775460134,224,0.00162865156054916,39267,39.4,0.127575894658855,0.23580566845795,0.0182421129514879,0.0149553518837029,0.454509577551068,0.395359658836558,0.0926772377070424
"06","CA","California",36637290,409722663481.951,692,8927,159590,168517,214713632321.741,409722.663481951,214713.632321741,89.4197301380521,0.00168894733359187,0.524046267045707,16709,0.0407812442152985,60883,38.5,0.192220043071852,0.273100230045216,0.0131986917900936,0.0394775064965862,0.2366002351616,0.108666396593121,0.00668926062426512
"08","CO","Colorado",4887061,269380444017.759,112,7113,61473,68586,112235472591.815,269380.444017759,112235.472591815,18.141855166286,0.000415768859571025,0.416642986097446,2707,0.0100489848469533,56456,39,0.230317708790527,0.402664948513629,0.00253871159635387,0.01217079370039,0.296713795569122,0.136600710238369,0.00720152863486417
"09","CT","Connecticut",3545837,12902552276.516,105,2312,5190,7502,1183183710.90178,12902.552276516,1183.18371090178,274.816712539409,0.00813792478803678,0.0917015242833233,525,0.0406896239401839,67740,38.4,0.198607086820029,0.216465273662604,0.0302175412199862,0.158861513384741,0.741395523791612,0.0248260297160053,0.0435709359914739
"10","DE","Delaware",881278,5240690697.96768,18,460,2957,3417,561677147.572239,5240.69069796768,561.677147572239,168.160658735643,0.0034346617721554,0.107176168169981,11,0.00209895997187275,57599,38.7,0.165916826415242,0.540035997441504,0.0412291537986411,0.130945027794935,0.0571340333539221,0.551575046324892,0.212631253860408
"11","DC","District of Columbia",584400,173097537.580689,23,7,16,23,0,173.097537580689,0,3376.13121577529,0.132873062906967,0,84,0.485275534095011,58526,40.2,0.219502975288955,0.0564754664823773,0.101851851851852,0.810185185185184,0.0833333333333333,0,0.00462962962962963
"12","FL","Florida",18511620,150523754334.12,332,19937,87210,107147,28633254629.3312,150523.75433412,28633.2546293312,122.98138643891,0.00220563193808636,0.190224159342807,22417,0.14892666010868,47661,39.2,0.167654600772837,0.451532060626366,0.067707659812923,0.113679468942627,0.212924048450364,0.200423509634036,0.352763050131471
"13","GA","Georgia",9468815,152695367375.505,184,11885,63060,74945,11997972925.4302,152695.367375505,11997.9729254302,62.0111478347244,0.00120501363703793,0.0785745706084524,4972,0.0325615641486553,49347,39.6,0.175393107869427,0.163023158077793,0.0135345289718535,0.0564787932507815,0.482243228754771,0.239407240707618,0.166113785581215
"16","ID","Idaho",1526797,215961824241.149,27,2394,88473,90867,145886769121.968,215961.824241149,145886.769121968,7.06975413531947,0.000125022096358341,0.675521100243471,97,0.000449153457287373,46423,38.4,0.167301050775222,0.445307167235495,0.00838058877472723,0.00451780734751932,0.329605300095446,0.11531824902214,0.00793142814365655
"17","IL","Illinois",12745359,145947032244.925,282,7961,53487,61448,5025622096.51305,145947.032244925,5025.62209651305,87.328661665494,0.00193220784049075,0.0344345617667591,3611,0.0247418528794755,55735,38.6,0.18855839852039,0.0843864221370687,0.0153612470826935,0.059820720775657,0.128766166451391,0.776998597475456,0.0171407347454667
"18","IN","Indiana",6417398,93608045787.9576,143,5607,19290,24897,3782987453.92226,93608.0457879576,3782.98745392226,68.5560514161015,0.00152764646239839,0.0404130587502226,660,0.00705067598030026,47697,38.5,0.143352593385326,0.121418783160894,0.00802213001383126,0.0513053250345781,0.221965767634855,0.70521265560166,0.0117652143845089
"19","IA","Iowa",3016267,145501673388.215,94,5274,55971,61245,3243805487.24876,145501.673388215,3243.80548724876,20.7301189722558,0.000646040679884123,0.0222939393871706,146,0.00100342488577747,48872,38.7,0.169900736116457,0.171246901605776,0.00818141396176078,0.0155235660293464,0.0567140951534016,0.902573365940418,0.0115106714095153
"20","KS","Kansas",2809329,212890512745.989,89,11395,91113,102508,3421242669.66005,212890.512745989,3421.24266966005,13.1961211599502,0.000418055266305787,0.0160704327568703,76,0.000356991013924043,49424,39.2,0.192671379063999,0.109145419856785,0.00474852582795053,0.0111128430705359,0.019035923795475,0.595728988058351,0.00205300556212433
"21","KY","Kentucky",4285828,104566947925.335,109,2501,39835,42336,6388836608.29862,104566.947925335,6388.83660829862,40.986450164542,0.00104239439098701,0.0610980499580088,208,0.00198915626903943,41576,38.9,0.121039523445545,0.146669275330265,0.016430125510054,0.0210370645668316,0.561458115568357,0.385101391373023,0.009631986868288
"22","LA","Louisiana",4429940,122595094601.728,152,12246,56655,68901,8951126799.61346,122595.094601728,8951.12679961346,36.1347247570667,0.00123985384973028,0.0730137435652935,1633,0.0133202719513786,43445,40.4,0.140378510241721,0.183980421837982,0.0919748474249026,0.0315332888116003,0.26032650740229,0.254349134140455,0.319743184538175
"23","ME","Maine",1327665,84817587624.3714,41,4394,18896,23290,4776401971.98912,84817.5876243714,4776.40197198912,15.6531803979121,0.000483390310292427,0.0563138153980776,416,0.00490464314833292,46933,38.3,0.171743062796661,0.700573109810291,0.0722185704895545,0.00830689796423842,0.7547559848723,0.0317129166547589,0.0974536309336686
"24","MD","Maryland",5696423,27088419497.9198,92,1090,8849,9939,3074622409.51381,27088.4194979198,3074.62240951381,210.289972821687,0.00339628526526123,0.113503204192106,260,0.00959819748878173,70647,39.3,0.197512830708527,0.212267398844425,0.0813692983242226,0.12196433372166,0.335155479881709,0.343549302506198,0.114944588822177
"25","MA","Massachusetts",6477096,21251225495.3613,188,3250,7358,10608,3541372461.06577,21251.2254953613,3541.37246106577,304.786940471448,0.00884654863979663,0.166643211321567,2914,0.137121503916848,64509,38,0.219415805756601,0.403915547024952,0.0609923141313446,0.183928163762271,0.599840194810137,0.0304390837835781,0.117000228293128
"26","MI","Michigan",9952687,150786781640.323,179,12388,36475,48863,32125226953.0547,150786.781640323,32125.2269530547,66.0050363283202,0.00118710670824565,0.213050683909974,2761,0.0183106235836103,48432,37.7,0.154582333042714,0.389290678053853,0.030705469830683,0.0528485797312802,0.333685406993577,0.312780810019623,0.246249611289233
"27","MN","Minnesota",5241914,218009498367.419,137,24763,49680,74443,44877576616.0509,218009.498367419,44877.5766160509,24.0444294365818,0.000628412986708997,0.205851474142733,2731,0.0125269771292137,57243,38.1,0.21339328119191,0.466725336837017,0.059449682737354,0.016971327758999,0.181921959319219,0.505893079523216,0.22520829626994
"28","MS","Mississippi",2941991,123823212399.655,62,10656,71187,81843,7325833622.04118,123823.212399655,7325.83362204118,23.7596080975864,0.000500713870997687,0.0591636534060846,493,0.00398148287744935,37881,39.5,0.126277295642022,0.186792539560326,0.0155840925751388,0.0193868467902399,0.440936223688344,0.307231123677872,0.170410514189968
"29","MO","Missouri",5922314,180346034767.291,208,6940,88336,95276,12289862287.057,180346.034767291,12289.862287057,32.8386149861395,0.00115333836016074,0.0681460077728639,3840,0.0212924004952753,46262,38.7,0.158311587423676,0.231816499089307,0.0113600150808576,0.0218537785178569,0.366967535760933,0.58734554463889,0.0110233887943842
"30","MT","Montana",973739,379744875525.399,31,14370,118098,132468,133756810524.754,379744.875525399,133756.810524754,2.56419260076328,8.16337546546473e-05,0.352228085605352,407,0.00107177219820779,43872,38.7,0.192247952987507,0.495660203139427,0.00902374636508095,0.00184218867330507,0.219969240129081,0.149825672792405,0.00615197418383171
"31","NE","Nebraska",1799125,200054527712.947,53,6115,58146,64261,3770847342.18365,200054.527712947,3770.84734218365,8.99317311418973,0.0002649277704729,0.0188490977199693,69,0.000344905965332643,49342,39.5,0.188947388369553,0.19090350177247,0.0057212632872802,0.00650970593111033,0.00706363742959611,0.421982589569106,0.0126595585529854
"32","NV","Nevada",2633331,286055635196.414,36,1062,92195,93257,244075425703.812,286055.635196414,244075.425703812,9.20566028420268,0.00012584964451157,0.853244598856522,31,0.000108370527218296,55726,39.3,0.144267616584495,0.231914946499807,0.00474728756736876,0.00521409474771194,0.0986858670589733,0.00856661904290382,0.00620429179692473
"33","NH","New Hampshire",1313939,23920730108.3413,46,1699,8735,10434,4543656503.74697,23920.7301083413,4543.65650374697,54.9288836105308,0.00192301822693779,0.189946397253258,3340,0.139627845173309,63277,38.4,0.209732197601293,0.657300381037529,0.0365738236884803,0.0354583558680367,0.848566792861006,0.0187939426717145,0.0419821525148729
"34","NJ","New Jersey",8721577,20118164365.0899,154,2381,12378,14759,4203099273.70267,20118.1643650899,4203.09927370267,433.517533793199,0.0076547739249625,0.208920615093299,94,0.00467239447367841,69811,38.9,0.216378960658757,0.351313448397004,0.0484312148028962,0.251769911504425,0.318664521319388,0.153660498793243,0.220836685438455
"35","NM","New Mexico",2013122,315003305874.049,48,5724,66886,72610,160219619590.562,315003.305874049,160219.619590562,6.39079642168875,0.000152379353184288,0.508628375013386,110,0.00034920268438066,43820,38.7,0.146226324147191,0.350794518053089,0.000830729267132184,0.00315059861373661,0.159973252060749,0.01883157799982,0.00192122217507041
"36","NY","New York",19229752,126827079041.178,462,7894,38752,46646,18452896699.9379,126827.079041178,18452.8966999379,151.621815667272,0.0036427551867689,0.145496504685302,1682,0.0132621520003145,55603,38.8,0.183375023113669,0.325873422514629,0.0401326276860295,0.0543263406236051,0.609966205445386,0.237365300006376,0.0545750175349104
"37","NC","North Carolina",9271178,130238246415.996,167,7373,64050,71423,13107986189.3232,130238.246415996,13107.9861893232,71.1862932366794,0.00128226542199119,0.100646212230582,3635,0.027910388077473,45570,39.2,0.174084076887604,0.302393378556879,0.0347892062662861,0.0652997257411519,0.464218859804599,0.261404130674079,0.152950614750275
"38","ND","North Dakota",659858,182614860153.757,29,30473,36273,66746,13516141574.7441,182614.860153757,13516.1415747441,3.61338611460435,0.000158804162900997,0.0740144671871931,58,0.000317608325801994,46781,39.8,0.193809933082246,0.340346227118363,0.0335112994475236,0.00279113383730034,0.0065730980700924,0.624537207008355,0.0114078195980944
"39","OH","Ohio",11512431,106955202569.073,426,5236,47037,52273,4265746878.72635,106955.202569073,4265.74687872635,107.637877573698,0.00398297595411391,0.0398834911838111,3839,0.0358935321310876,47358,38.2,0.153284341654395,0.0954715560096072,0.0108627406482847,0.0822875297855441,0.340466734747911,0.55669276447672,0.00653579938726881
"40","OK","Oklahoma",3675339,181257823513.492,141,8505,52268,60773,10787982507.1611,181257.823513492,10787.9825071611,20.2768571792236,0.000777897457151716,0.0595173344689207,516,0.00284677367298075,42979,39.8,0.152066578769743,0.175802051922723,0.0143440608438419,0.0139821079066608,0.210089102982313,0.312642435183613,0.00568400168017659
"41","OR","Oregon",3761925,250927227176.903,88,3222,74942,78164,138649571906.575,250927.227176903,138649.571906575,14.9920956857657,0.000350699288355664,0.552548934073334,3494,0.0139243558353942,49260,37.7,0.182533400494111,0.346517694800917,0.0109726906931867,0.008733694794254,0.39193059434871,0.0907324899245185,0.0129410741381477
"42","PA","Pennsylvania",12612705,117241792771.076,400,4440,47043,51483,18252384215.6942,117241.792771076,18252.3842156942,107.578575027655,0.00341175267407444,0.155681551640322,812,0.00692585792837111,50398,38.4,0.163181224049046,0.272781355628286,0.00920412598751164,0.0628074654155312,0.690047262565978,0.227474385069169,0.00570600614068375
"44","RI","Rhode Island",1056389,2859528523.66139,23,505,1059,1564,359579976.809395,2859.52852366139,359.579976809395,369.427684060092,0.00804328399233815,0.125747994410275,581,0.203180347806455,54902,37.5,0.184563038563473,0.31590949651986,0.0914237192187942,0.206340220775545,0.588734786300595,0.0181149165015568,0.0857628078120577
"45","SC","South Carolina",4511428,80733371428.4501,94,6033,34599,40632,6795620475.78918,80733.3714284501,6795.62047578918,55.8805846972246,0.00116432645307409,0.0841736243086515,1943,0.0240668755140739,43939,39,0.155124368497563,0.32966747263604,0.0327348994972353,0.0551736595450029,0.434424831157362,0.191261327258678,0.248963863159691
"46","SD","South Dakota",799462,199373855921.235,30,23832,66375,90207,17589601667.9895,199373.855921235,17589.6016679895,4.00986376225696,0.000150471082887878,0.0882242136849602,391,0.00196113978030534,46369,39.7,0.179798759369845,0.33632297607497,0.0225195094760312,0.00280125671430019,0.0278301408736192,0.4126076821729,0.0051565825478869
"47","TN","Tennessee",6234968,109117589924.75,172,2203,56210,58413,9986295557.28056,109117.58992475,9986.29555728056,57.1398983821012,0.00157628114879201,0.0915186594953879,1070,0.00980593505353167,43314,38.9,0.147003511919256,0.181451736598953,0.022304860306998,0.0454558950149936,0.538278257771444,0.356929722989223,0.025652444998664
"48","TX","Texas",24311891,687164856982.028,405,37637,85766,123403,21869144456.7533,687164.856982028,21869.1444567533,35.3799976133469,0.00058937821962946,0.0318251788265203,49130,0.071496671433075,49646,40.2,0.172641833148975,0.187960456691631,0.0111276279464855,0.0259798022698851,0.0822149076236992,0.25115971779807,0.0306859205776174
"49","UT","Utah",2657236,219664375555.837,67,2568,53955,56523,161167707571.177,219664.375555837,161167.707571177,12.0967999170378,0.000305010768498368,0.733699796170223,481,0.00218970417384649,56330,37.3,0.19901000571432,0.444148822040081,0.0242705570291777,0.00817123489537283,0.232036545829649,0.0312776304155614,0.00584659593280283
"50","VT","Vermont",624258,24908844512.4815,29,879,4581,5460,3076007131.22983,24908.8445124815,3076.00713122983,25.0617004609424,0.00116424509316233,0.123490558933333,1320,0.0529932249301474,51841,37.8,0.2016209789193,0.747545894951555,0.042901184488074,0.0111309427227,0.772123965601168,0.143501541457082,0.0267726756449781
"51","VA","Virginia",7841754,105048567725.862,153,4899,51803,56702,12157861666.749,105048.567725862,12157.861666749,74.6488426235766,0.00145646916766418,0.115735625244092,2814,0.0267876093974313,61406,39.5,0.199349874897668,0.233615036131021,0.0279376970089324,0.0491241050303268,0.607508111565821,0.241373995206277,0.0467426572025309
"53","WA","Washington",6561297,175803736328.505,120,4637,56580,61217,67852431809.1444,175803.736328505,67852.4318091444,37.321715323158,0.000682579349597947,0.385955573107707,1899,0.0108018182073875,57244,38.4,0.199546775967613,0.328514110414839,0.0249035103841206,0.0280463150156221,0.445883109722478,0.180210439257489,0.0100119463333946
"54","WV","West Virginia",1840802,62670071077.0728,77,629,27601,28230,6763607788.96623,62670.0710770728,6763.60778896623,29.3729042964727,0.00122865665662488,0.107924048476796,866,0.0138183982420409,38380,39.3,0.105662545677952,0.305085601737286,0.00470144530695013,0.0134197848184648,0.911021272748408,0.0603696575952882,0.00131743797062888
"55","WI","Wisconsin",5637947,145050532360.936,106,10806,43205,54011,22660859479.2527,145050.532360936,22660.8594792527,38.8688473474253,0.00073077980669685,0.156227344432385,7631,0.0526092519330534,51598,38.4,0.171463849768523,0.508914721379631,0.034595733062912,0.0269678447454492,0.334863739949741,0.409381912599667,0.187281652393397
"56","WY","Wyoming",545579,252879361945.596,13,8596,72644,81240,140441246363.808,252879.361945596,140441.246363808,2.15746748094601,5.14079120572789e-05,0.555368557098868,300,0.00118633643209105,53802,40.8,0.157461458283849,0.452630453378956,0.00552201772673207,0.00162431094683259,0.120630667502271,0.0254326166754064,0.00760676327266681
